participant,experiment,frequency,bandwidth
hh,fixation_pwrlaw,5.0,1.75
hh,fixation_pwrlaw,7.5,2.5
hh,fixation_pwrlaw,15.2,2.5
hh,fixation_pwrlaw,10.5,2
hh,fixation_pwrlaw,12.6,1.5
rr,fixation_pwrlaw,8.9,2
rr,fixation_pwrlaw,12.7,1.5
rr,fixation_pwrlaw,14.5,1.5
rr,fixation_pwrlaw,17.5,2.5
rr,fixation_pwrlaw,20.0,3.5
gc,fixation_pwrlaw,14.9,3
gc,fixation_pwrlaw,18.8,2.5
gc,fixation_pwrlaw,7.5,2
gc,fixation_pwrlaw,12.3,1.5
gw,fixation_pwrlaw,14.0,3.
jp,fixation_pwrlaw,5.5,1.5
jp,fixation_pwrlaw,12.6,2.5
jc,fixation_pwrlaw,9.1,2
jc,fixation_pwrlaw,6.1,2.5
jc,fixation_pwrlaw,12.9,1.5
fp,fixation_pwrlaw,7.3,2.5
fp,fixation_pwrlaw,5.5,2.5
cc,fixation_pwrlaw,15,3
wm,fixation_pwrlaw,7,2
wm,fixation_pwrlaw,14,2
wm,fixation_pwrlaw,21.4,6
gf,fixation_pwrlaw,7.2,1.5
gf,fixation_pwrlaw,5.1,2.5
de,fixation_pwrlaw,7.3,2.5
zt,fixation_pwrlaw,8.0,1.5
zt,fixation_pwrlaw,15.5,1.5
zt,fixation_pwrlaw,5.1,1.5
ca,fixation_pwrlaw,11.0,1.5
ca,fixation_pwrlaw,7.5,1.5
ca,fixation_pwrlaw,15.1,1.5
ca,fixation_pwrlaw,18.6,1.5
al,fixation_pwrlaw,14.1,3.5
al,fixation_pwrlaw,5.6,2.5
h0,fixation_pwrlaw,8.1,2.5
h0,fixation_pwrlaw,12.6,2.5
h0,fixation_pwrlaw,20.5,1.5
h0,fixation_pwrlaw,24.1,1.5
wc,fixation_pwrlaw,8.5,1.5
wc,fixation_pwrlaw,6.1,1.5
wc,fixation_pwrlaw,12.3,1.5
jm,fixation_pwrlaw,5.4,2
jm,fixation_pwrlaw,8.2,1.5
mv,fixation_pwrlaw,7.3,2
mv,fixation_pwrlaw,13.5,2.5
mv,fixation_pwrlaw,24.8,4
mv,fixation_pwrlaw,16.9,1.5
ug,fixation_pwrlaw,9.1,2.5
ug,fixation_pwrlaw,7.0,1.5
rh,fixation_pwrlaw,8.3,1.5
rh,fixation_pwrlaw,16.4,3.5
rh,fixation_pwrlaw,18.5,3.5
rh,fixation_pwrlaw,4.7,1.5
rh,fixation_pwrlaw,13.8,1.5
