participant,file_name,experiment,elec_file,electrodes,is_rest
hh,../data/fixation_pwrlaw/data/hh_base.mat,fixation_pwrlaw,,"[]",True
rr,../data/fixation_pwrlaw/data/rr_base.mat,fixation_pwrlaw,,"[8,9,43,44,58,37,33,31,30,29,28,15]",True
gc,../data/fixation_pwrlaw/data/gc_base.mat,fixation_pwrlaw,,"[]",True
gw,../data/fixation_pwrlaw/data/gw_base.mat,fixation_pwrlaw,,"[]",True
jp,../data/fixation_pwrlaw/data/jp_base.mat,fixation_pwrlaw,,"[48,37,35,53]",True
jc,../data/fixation_pwrlaw/data/jc_base.mat,fixation_pwrlaw,,"[]",True
fp,../data/fixation_pwrlaw/data/fp_base.mat,fixation_pwrlaw,,"[2,4,63]",True
cc,../data/fixation_pwrlaw/data/cc_base.mat,fixation_pwrlaw,,"[]",True
wm,../data/fixation_pwrlaw/data/wm_base.mat,fixation_pwrlaw,,"[33]",True
gf,../data/fixation_pwrlaw/data/gf_base.mat,fixation_pwrlaw,,"[57]",True
de,../data/fixation_pwrlaw/data/de_base.mat,fixation_pwrlaw,,"[]",True
zt,../data/fixation_pwrlaw/data/zt_base.mat,fixation_pwrlaw,,"[57,58]",True
ca,../data/fixation_pwrlaw/data/ca_base.mat,fixation_pwrlaw,,"[]",True
al,../data/fixation_pwrlaw/data/al_base.mat,fixation_pwrlaw,,"[]",True
h0,../data/fixation_pwrlaw/data/h0_base.mat,fixation_pwrlaw,,"[]",True
wc,../data/fixation_pwrlaw/data/wc_base.mat,fixation_pwrlaw,,"[]",True
jm,../data/fixation_pwrlaw/data/jm_base.mat,fixation_pwrlaw,,"[]",True
mv,../data/fixation_pwrlaw/data/mv_base.mat,fixation_pwrlaw,,"[59]",True
ug,../data/fixation_pwrlaw/data/ug_base.mat,fixation_pwrlaw,,"[]",True
rh,../data/fixation_pwrlaw/data/rh_base.mat,fixation_pwrlaw,,"[]",True
ug,../data/motor_basic/data/ug_mot_t_h.mat,motor_basic,../data/motor_basic/locs/ug_electrodes.mat,"[]",False
ja,../data/faces_basic/data/ja/ja_faceshouses.mat,faces_basic,../data/faces_basic/locs/ja_xslocs.mat,"[]",False
jt,../data/faces_basic/data/jt/jt_faceshouses.mat,faces_basic,../data/faces_basic/locs/jt_xslocs.mat,"[64,66,91,96,67,68,69,65,101,74,77,76,75,70,71]",False
